Files,Scanner Results
bitwarden-1.0.license,Non-commercial [N]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]; LicenseRef-scancode-bitwarden-1.0 [Sc: 100%]
bitzi-pd.license,Public-domain [N]; LicenseRef-scancode-public-domain [Sc: 70%]; LicenseRef-scancode-bitzi-pd [Sc: 100%]
blas-2017.license,Freeware [N]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-blas-2017 [Sc: 100%]
blender-2010.license,GPL [N]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]; GPL-1.0-or-later [Sc: 100%]
blessing.license,blessing [N][M: 100%][Sc: 100%]; LicenseRef-scancode-public-domain [Sc: 70%]
blitz-artistic.license,Artistic-1.0 [N]; Artistic-2.0 [Sc: 100%]; LicenseRef-scancode-blitz-artistic [Sc: 100%]
bloomberg-blpapi.license,MIT-style [N]; MIT [M: 71%]; LicenseRef-scancode-bloomberg-blpapi [Sc: 100%]
blue-oak-model-license.license,BlueOak-1.0.0 [N][M: 94%][Sc: 98%]
blueoak-1.0.0.license,BlueOak-1.0.0 [N][M: 100%][Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]
bohl-0.2.license,GPL [N]; LicenseRef-scancode-bohl-0.2 [Sc: 100%]
boost-1.0.license,BSL-1.0 [N][M: 100%][Sc: 100%]; LicenseRef-scancode-free-unknown [Sc: 100%]
boost-original.license,MIT-style [N]; LicenseRef-scancode-boost-original [Sc: 100%]
bootloader-exception.license,Bootloader-exception [N][M: 100%][Sc: 50%]; GPL-2.0-or-later [N][Sc: 50%]; GPL-2.0-only [Sc: 100%]
borceux.license,Borceux [N][M: 100%][Sc: 50%]
boutell-libgd-2021.license,MIT-CMU-style [N]; HPND-Pbmplus [M: 73%]; LicenseRef-scancode-mit-veillard-variant [Sc: 50%]; LicenseRef-scancode-libpbm [Sc: 96%]
bpel4ws-spec.license,UnclassifiedLicense [N]; LicenseRef-scancode-bpel4ws-spec [Sc: 100%]
bpmn-io.license,MIT [N][M: 72%]; LicenseRef-scancode-bpmn-io [Sc: 100%]
brad-martinez-vb-32.license,No_license_found [N]; LicenseRef-scancode-brad-martinez-vb-32 [Sc: 100%]
brankas-open-license-1.0.license,UnclassifiedLicense [N]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-warranty-disclaimer [Sc: 89%]
brent-corkum.license,Public-domain [N]; LicenseRef-scancode-brent-corkum [Sc: 100%]
brian-clapper.license,BSD-style [N]; LicenseRef-scancode-brian-clapper [Sc: 96%]
brian-gladman-3-clause.license,BSD-style [N]; LicenseRef-scancode-brian-gladman-3-clause [Sc: 100%]
brian-gladman-dual.license,BSD [N]; Dual-license [N]; GPL-2.0-only [N]; BSD-3-Clause [Sc: 90%]; GPL-1.0-or-later [Sc: 90%]; GPL-2.0-or-later [Sc: 100%]; LicenseRef-scancode-brian-gladman-3-clause [Sc: 100%]
brian-gladman.license,UnclassifiedLicense [N]; LicenseRef-scancode-brian-gladman [Sc: 100%]
broadcom-cfe.license,HP-DEC-style [N]; LicenseRef-scancode-broadcom-cfe [Sc: 100%]
broadcom-commercial.license,Non-commercial [N]; LicenseRef-scancode-broadcom-commercial [Sc: 100%]
broadcom-confidential.license,No_license_found [N]; LicenseRef-scancode-broadcom-confidential [Sc: 100%]
broadcom-dual.license,GPL-2.0-or-later [N]; GPL-1.0-or-later [Sc: 50%]; GPL-2.0-only [Sc: 100%]; LicenseRef-scancode-commercial-license [Sc: 100%]
broadcom-linking-exception-2.0.license,GPL-2.0-only [N][Sc: 100%]; LicenseRef-scancode-bcm-linking-exception-2.0 [Sc: 94%]; LicenseRef-scancode-commercial-license [Sc: 94%]
broadcom-linking-unmodified.license,UnclassifiedLicense [N]; GPL-2.0-only [Sc: 60%]; LicenseRef-scancode-broadcom-linking-unmodified [Sc: 60%]; LicenseRef-scancode-proprietary-license [Sc: 60%]
broadcom-linux-firmware.license,UnclassifiedLicense [N]; LicenseRef-scancode-broadcom-linux-firmware [Sc: 100%]
broadcom-linux-timer.license,UnclassifiedLicense [N]; LicenseRef-scancode-broadcom-linux-timer [Sc: 100%]
broadcom-opus-patent.license,UnclassifiedLicense [N]; LicenseRef-scancode-proprietary-license [Sc: 100%]
broadcom-proprietary.license,Public-domain [N]; LicenseRef-scancode-proprietary-license [Sc: 100%]; LicenseRef-scancode-broadcom-proprietary [Sc: 100%]
broadcom-raspberry-pi.license,No_license_found [N]; LicenseRef-scancode-broadcom-raspberry-pi [Sc: 100%]
broadcom-standard-terms.license,UnclassifiedLicense [N]; LicenseRef-scancode-broadcom-standard-terms [Sc: 100%]
broadcom-unmodified-exception.license,UnclassifiedLicense [N]; GPL-2.0-only [Sc: 60%]; LicenseRef-scancode-proprietary-license [Sc: 60%]; LicenseRef-scancode-broadcom-linking-unmodified [Sc: 60%]
broadcom-unpublished-source.license,COMMERCIAL [N]; LicenseRef-scancode-unpublished-source [Sc: 100%]
broadcom-wiced.license,Non-commercial [N]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]; LicenseRef-scancode-broadcom-wiced [Sc: 100%]
broadleaf-fair-use.license,See-URL [N]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]; LicenseRef-scancode-broadleaf-fair-use [Sc: 100%]
brocade-firmware.license,BSD-style [N]; LicenseRef-scancode-brocade-firmware [Sc: 100%]
bruno-podetti.license,Public-domain [N]; LicenseRef-scancode-bruno-podetti [Sc: 100%]
bsd-1-clause-build.license,BSD-possibility [N]; BSD-1-Clause [M: 77%][Sc: 50%]; LicenseRef-scancode-bsd-1-clause-build [Sc: 100%]
bsd-1-clause.license,BSD-1-Clause [N][M: 92%][Sc: 50%]
bsd-1988.license,BSD-style [N]; LicenseRef-scancode-flex-2.5 [Sc: 80%]
bsd-2-clause-first-lines.license,BSD-2-Clause [N][M: 87%][Sc: 100%]; FreeBSD-DOC [Sc: 100%]
bsd-2-clause-freebsd.license,BSD-2-Clause-FreeBSD [N][M: 98%]; BSD-2-Clause-Views [Sc: 100%]
bsd-2-clause-netbsd.license,BSD-2-Clause [N][M: 89%][Sc: 50%]
bsd-2-clause-plus-advertizing.license,BSD-2-Clause [N][M: 80%][Sc: 100%]; LicenseRef-scancode-bsd-2-clause-plus-advertizing [Sc: 100%]
bsd-2-clause-views.license,BSD-2-Clause [N]; BSD-2-Clause-FreeBSD [M: 93%]; BSD-2-Clause-Views [Sc: 100%]
bsd-3-clause-devine.license,BSD-style [N]; BSD-3-Clause [M: 91%][Sc: 100%]; AGPL-3.0-or-later [Sc: 90%]; LicenseRef-scancode-bsd-3-clause-devine [Sc: 100%]
bsd-3-clause-fda.license,BSD-style [N]; BSD-3-Clause [Sc: 100%]; LicenseRef-scancode-bsd-3-clause-fda [Sc: 100%]
bsd-3-clause-hp.license,BSD-3-Clause [N][Sc: 100%]; BSD-3-Clause-HP [M: 99%]
bsd-3-clause-jtag.license,BSD-style [N]; BSD-3-Clause [Sc: 100%]; LicenseRef-scancode-bsd-3-clause-jtag [Sc: 100%]
bsd-3-clause-no-change.license,BSD-3-Clause [N][Sc: 100%]; BSD-3-Clause-HP [M: 85%]; LicenseRef-scancode-bsd-3-clause-no-change [Sc: 100%]
bsd-3-clause-no-military.license,BSD-3-Clause [N][Sc: 100%]; BSD-3-Clause-No-Military-License [M: 96%][Sc: 100%]
bsd-3-clause-no-nuclear-warranty.license,BSD-3-Clause [N]; BSD-3-Clause-No-Nuclear-License [M: 95%][Sc: 50%]; BSD-3-Clause-No-Nuclear-Warranty [Sc: 50%]
bsd-3-clause-no-trademark.license,BSD-3-Clause [N][Sc: 100%]; BSD-3-Clause-HP [M: 84%]; LicenseRef-scancode-bsd-3-clause-no-trademark [Sc: 100%]
bsd-3-clause-open-mpi.license,BSD-3-Clause-Open-MPI [N][M: 100%][Sc: 100%]; BSD-3-Clause [Sc: 100%]
bsd-3-clause-sun.license,BSD-3-Clause [N][Sc: 100%]; BSD-3-Clause-No-Nuclear-License [M: 85%]; BSD-3-Clause-No-Nuclear-Warranty [Sc: 50%]; LicenseRef-scancode-bsd-3-clause-sun [Sc: 100%]
bsd-4-clause-shortened.license,BSD-4-Clause-Shortened [N][M: 97%][Sc: 100%]
bsd-ack-carrot2.license,BSD-3-Clause [N][M: 80%]; LicenseRef-scancode-bsd-ack-carrot2 [Sc: 100%]
bsd-ack.license,BSD-3-Clause-Attribution [N][M: 100%][Sc: 90%]
bsd-advertising-acknowledgement.license,BSD-3-Clause-Attribution [N]; BSD-Advertising-Acknowledgement [M: 96%]; LicenseRef-scancode-other-permissive [Sc: 97%]
bsd-artwork.license,See-URL [N]; LicenseRef-scancode-other-permissive [Sc: 100%]; LicenseRef-scancode-bsd-artwork [Sc: 100%]
bsd-atmel.license,BSD-style [N]; BSD-Source-Code [M: 74%]; LicenseRef-scancode-bsd-atmel [Sc: 100%]
bsd-axis-nomod.license,BSD-style [N]; BSD-Source-Code [M: 82%]; BSD-3-Clause [Sc: 100%]; LicenseRef-scancode-bsd-axis-nomod [Sc: 100%]
bsd-axis.license,BSD-style [N]; BSD-Source-Code [M: 89%][Sc: 50%]; BSD-3-Clause [Sc: 100%]
bsd-credit.license,ISC [N]; ssh-keyscan [M: 73%]; LicenseRef-scancode-bsd-credit [Sc: 100%]
bsd-dpt.license,UnclassifiedLicense [N]; BSD-1-Clause [M: 76%]; LicenseRef-scancode-bsd-dpt [Sc: 100%]
bsd-export.license,BSD-3-Clause [N]; LicenseRef-scancode-bsd-export [Sc: 100%]
bsd-inferno-nettverk.license,BSD-style [N]; BSD-4-Clause [Sc: 82%]
bsd-innosys.license,BSD-style [N]; LicenseRef-scancode-bsd-innosys [Sc: 100%]
bsd-intel.license,BSD-3-Clause [N][M: 88%][Sc: 99%]
bsd-mylex.license,BSD-style [N]; GPL [N]; BSD-3-Clause-HP [M: 71%]; LicenseRef-scancode-bsd-mylex [Sc: 100%]
bsd-new-derivative.license,BSD-style [N]; LicenseRef-scancode-bsd-new-derivative [Sc: 100%]
bsd-new-far-manager.license,BSD-3-Clause [N][Sc: 100%]; BSD-3-Clause-HP [M: 91%]; LicenseRef-scancode-far-manager-exception [Sc: 100%]
bsd-new-nomod.license,BSD-3-Clause [N][M: 93%][Sc: 100%]; LicenseRef-scancode-bsd-new-nomod [Sc: 100%]
bsd-new-tcpdump.license,BSD-style [N]; BSD-3-Clause [Sc: 100%]; LicenseRef-scancode-bsd-new-tcpdump [Sc: 100%]
bsd-new.license,BSD-3-Clause [N][M: 95%][Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
bsd-no-disclaimer-unmodified.license,BSD-style [N]; LicenseRef-scancode-warranty-disclaimer [Sc: 90%]; BSD-2-Clause [Sc: 100%]; LicenseRef-scancode-bsd-no-disclaimer-unmodified [Sc: 100%]
bsd-no-disclaimer.license,BSD-style [N]; LicenseRef-scancode-warranty-disclaimer [Sc: 90%]; BSD-2-Clause [Sc: 100%]; LicenseRef-scancode-bsd-no-disclaimer [Sc: 100%]
bsd-no-mod.license,BSD-style [N]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]; LicenseRef-scancode-bsd-no-mod [Sc: 100%]
bsd-original-muscle.license,BSD-4-Clause [N][M: 78%]; LicenseRef-scancode-bsd-original-muscle [Sc: 100%]
bsd-original-uc-1986.license,BSD-style [N]; BSD-4.3RENO [M: 68%]; LicenseRef-scancode-other-permissive [Sc: 82%]; BSD-4-Clause-UC [Sc: 100%]
bsd-original-uc-1990.license,BSD-style [N]; BSD-4.3TAHOE [M: 84%]; BSD-4-Clause-UC [Sc: 100%]; LicenseRef-scancode-bsla [Sc: 100%]
bsd-original-uc.license,BSD-4-Clause-UC [N][Sc: 100%]; BSD-3-Clause-HP [M: 91%]; BSD-3-Clause [Sc: 99%]; BSD-4-Clause [Sc: 100%]; LicenseRef-scancode-unknown [Sc: 100%]; ICU [Sc: 100%]
bsd-original-voices.license,BSD-4-Clause [N][M: 85%][Sc: 100%]; LicenseRef-scancode-bsd-original-voices [Sc: 100%]
bsd-original.license,BSD-4-Clause [N][M: 90%][Sc: 100%]; ICU [Sc: 100%]; BSD-3-Clause [Sc: 100%]; BSD-4-Clause-UC [Sc: 100%]
bsd-plus-mod-notice.license,BSD-3-Clause [N][M: 85%]; LicenseRef-scancode-bsd-plus-mod-notice [Sc: 100%]
bsd-plus-patent.license,BSD-2-Clause-Patent [N][M: 97%][Sc: 100%]; GPL-2.0-only [N][Sc: 100%]; LicenseRef-scancode-unknown [Sc: 99%]; BSD-2-Clause [Sc: 100%]
bsd-protection.license,BSD [N]; GPL [N]; BSD-Protection [M: 100%][Sc: 50%]
bsd-simplified-darwin.license,BSD-style [N]; BSD-2-Clause [M: 86%]; LicenseRef-scancode-bsd-simplified-darwin [Sc: 100%]
bsd-simplified-intel.license,BSD-style [N]; LicenseRef-scancode-bsd-simplified-intel [Sc: 100%]
bsd-simplified-source.license,BSD-style [N]; BSD-2-Clause [Sc: 100%]; LicenseRef-scancode-bsd-simplified-source [Sc: 100%]
bsd-simplified.license,BSD-2-Clause [N][M: 96%][Sc: 100%]; MIT [Sc: 59%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
bsd-source-code.license,BSD-style [N]; BSD-Source-Code [M: 82%][Sc: 50%]
bsd-systemics-w3works.license,BSD-2-Clause [N][M: 79%][Sc: 57%]; BSD-2-Clause-Views [M: 68%]; LicenseRef-scancode-proprietary-license [Sc: 100%]
bsd-systemics.license,BSD-2-Clause [N]; BSD-Systemics [M: 96%]; LicenseRef-scancode-bsd-2-clause-plus-advertizing [Sc: 93%]; LicenseRef-scancode-proprietary-license [Sc: 100%]
bsd-top-gpl-addition.license,BSD-3-Clause [N][Sc: 100%]; GPL [N]; GPL-1.0-or-later [Sc: 50%]; LicenseRef-scancode-bsd-top-gpl-addition [Sc: 100%]
bsd-top.license,BSD-style [N]; BSD-1-Clause [M: 75%]; BSD-3-Clause [Sc: 100%]; LicenseRef-scancode-bsd-top [Sc: 100%]
bsd-unchanged.license,BSD-2-Clause [N][M: 87%]; LicenseRef-scancode-bsd-unchanged [Sc: 100%]
bsd-unmodified.license,BSD-2-Clause [N][M: 90%]; LicenseRef-scancode-bsd-unmodified [Sc: 100%]
bsd-x11.license,BSD-3-Clause [N][Sc: 100%]; MIT [N][Sc: 100%]; X11 [N]; BSD-3-Clause-HP [M: 91%]; LicenseRef-scancode-bsd-x11 [Sc: 100%]
bsd-zero.license,MIT-style [N]; 0BSD [M: 94%][Sc: 100%]; LicenseRef-scancode-free-unknown [Sc: 100%]
bsdpluspatent.license,BSD-2-Clause-Patent [N][M: 98%][Sc: 100%]; GPL-2.0-only [N][Sc: 100%]; LicenseRef-scancode-unknown [Sc: 99%]
bsl-1.0.license,GPL [N]; BSL-1.0 [Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-bsl-1.0 [Sc: 100%]
bsl-1.1.license,GPL-2.0-or-later [N]; BUSL-1.1 [M: 98%][Sc: 100%]
bsla-no-advert.license,BSD-style [N]; BSD-4.3TAHOE [M: 86%]; BSD-3-Clause [Sc: 99%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-bsla-no-advert [Sc: 100%]
bsla.license,BSD-style [N]; BSD-4.3TAHOE [M: 88%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-bsla [Sc: 100%]
bugsense-sdk.license,Non-profit [N]; UnclassifiedLicense [N]; LicenseRef-scancode-bugsense-sdk [Sc: 100%]
bytemark.license,UnclassifiedLicense [N]; LicenseRef-scancode-bytemark [Sc: 100%]
bzip2-1.0.5.license,bzip2-1.0.5 [N][M: 96%]; bzip2-1.0.6 [Sc: 98%]
bzip2-1.0.6.license,bzip2-1.0.6 [N][M: 100%][Sc: 100%]
bzip2-libbzip-1.0.5.license,bzip2 [N]; bzip2-1.0.6 [M: 94%][Sc: 95%]
bzip2-libbzip-2010.license,bzip2 [N]; bzip2-1.0.6 [Sc: 100%]
c-fsl-1.1.license,See-URL [N]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-c-fsl-1.1 [Sc: 100%]
c-uda-1.0.license,Public-domain [N]; C-UDA-1.0 [M: 95%][Sc: 100%]
ca-tosl-1.1.license,CATOSL-1.1 [N][M: 99%][Sc: 100%]; LicenseRef-scancode-free-unknown [Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]
cadence-linux-firmware.license,UnclassifiedLicense [N]; WebM [M: 71%]; LicenseRef-scancode-cadence-linux-firmware [Sc: 100%]
cal-1.0-combined-work-exception.license,CAL-1.0-Combined-Work-Exception [N][M: 99%][O][Sc: 100%]; CC-BY-SA-4.0 [N]; CAL-1.0 [O][Sc: 100%]; LicenseRef-scancode-free-unknown [Sc: 100%]
cal-1.0.license,CAL-1.0-Combined-Work-Exception [N][M: 99%][O]; CC-BY-SA-4.0 [N]; CAL-1.0 [O][Sc: 100%]; LicenseRef-scancode-free-unknown [Sc: 100%]
caldera-no-preamble.license,Apache [N]; BSD-style [N]; BSD-4-Clause [M: 77%][Sc: 100%]; Caldera [Sc: 100%]
caldera.license,BSD-style [N]; Caldera [N][M: 99%][Sc: 100%]
can-ogl-2.0-en.license,No_license_found [N]; OGL-Canada-2.0 [M: 99%][Sc: 100%]
can-ogl-alberta-2.1.license,No_license_found [N]; OGL-Canada-2.0 [M: 82%]; LicenseRef-scancode-can-ogl-alberta-2.1 [Sc: 100%]
can-ogl-british-columbia-2.0.license,No_license_found [N]; OGL-Canada-2.0 [M: 81%]; LicenseRef-scancode-can-ogl-british-columbia-2.0 [Sc: 100%]
can-ogl-nova-scotia-1.0.license,No_license_found [N]; OGL-Canada-2.0 [M: 84%]; LicenseRef-scancode-can-ogl-nova-scotia-1.0 [Sc: 100%]
can-ogl-ontario-1.0.license,No_license_found [N]; OGL-Canada-2.0 [M: 80%]; LicenseRef-scancode-can-ogl-ontario-1.0 [Sc: 100%]
can-ogl-toronto-1.0.license,No_license_found [N]; OGL-Canada-2.0 [M: 81%]; LicenseRef-scancode-can-ogl-toronto-1.0 [Sc: 100%]
canonical-ha-cla-any-e-v1.2.license,Non-profit [N]; UnclassifiedLicense [N]; LicenseRef-scancode-unknown-license-reference [Sc: 50%]; LicenseRef-scancode-generic-cla [Sc: 100%]
canonical-ha-cla-any-i-v1.2.license,Non-profit [N]; UnclassifiedLicense [N]; LicenseRef-scancode-unknown-license-reference [Sc: 50%]; LicenseRef-scancode-generic-cla [Sc: 100%]
capec-tou.license,UnclassifiedLicense [N]; LicenseRef-scancode-cwe-tou [Sc: 60%]
careware.license,No_license_found [N]; LicenseRef-scancode-careware [Sc: 100%]
carnegie-mellon-contributors.license,CMU-style [N]; CMU-Mach [M: 85%]; LicenseRef-scancode-carnegie-mellon-contributors [Sc: 100%]
carnegie-mellon.license,CMU [N]; LicenseRef-scancode-carnegie-mellon [Sc: 100%]
catharon-osl.license,Catharon [N]; IJG [N]; LicenseRef-scancode-free-unknown [Sc: 50%]; FTL [Sc: 86%]; LicenseRef-scancode-warranty-disclaimer [Sc: 90%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
cavium-linux-firmware.license,See-file [N]; LicenseRef-scancode-cavium-linux-firmware [Sc: 100%]
cavium-malloc.license,UnclassifiedLicense [N]; LicenseRef-scancode-cavium-malloc [Sc: 100%]
cavium-targeted-hardware.license,BSD-4-Clause [N]; LicenseRef-scancode-cavium-targeted-hardware [Sc: 100%]
cc-by-1.0.license,CC-BY-1.0 [N][M: 98%][Sc: 50%]
cc-by-2.0-uk.license,CC-BY-2.0 [N][Sc: 50%]; CC-BY-SA-2.0-UK [M: 75%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; CC-BY-4.0 [Sc: 100%]; LicenseRef-scancode-cc-by-2.0-uk [Sc: 100%]
cc-by-2.0.license,CC-BY-2.0 [N][M: 98%][Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]
cc-by-2.5-au.license,CC-BY-2.5 [N][Sc: 50%]; CC-BY-2.5-AU [M: 100%][Sc: 100%]
cc-by-2.5.license,CC-BY-2.5 [N][M: 98%][Sc: 50%]; CC-BY-4.0 [Sc: 100%]
cc-by-3.0-at.license,CC-BY-3.0 [N][Sc: 90%]; CC-BY-3.0-AT [M: 99%][Sc: 100%]; LicenseRef-scancode-free-unknown [Sc: 90%]
cc-by-3.0-au.license,CC-BY-3.0 [N][Sc: 50%]; LicenseRef-scancode-cc-by-nc-nd-2.0-au [Sc: 99%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-proprietary-license [Sc: 100%]
cc-by-3.0-de.license,CC-BY-3.0 [N][Sc: 90%]; CC-BY-3.0-DE [M: 100%][Sc: 100%]; LicenseRef-scancode-free-unknown [Sc: 90%]
cc-by-3.0-igo.license,CC-BY-3.0 [N][Sc: 50%]; CC-BY-3.0-IGO [M: 100%][Sc: 100%]; MIT [Sc: 51%]
cc-by-3.0-nl.license,CC-BY-3.0 [N][Sc: 90%]; CC-BY-3.0-NL [M: 100%][Sc: 100%]; LicenseRef-scancode-free-unknown [Sc: 90%]
cc-by-3.0-us.license,CC-BY-3.0 [N][Sc: 50%]; CC-BY-3.0-US [M: 100%][Sc: 100%]
cc-by-3.0.license,CC-BY-3.0 [N][M: 99%][Sc: 50%]; CC-BY-2.5 [Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; CC-BY-4.0 [Sc: 100%]
cc-by-4.0.license,CC-BY-4.0 [N][M: 96%][Sc: 50%]; Public-domain [N]
cc-by-nc-1.0.license,CC-BY-NC-1.0 [N][M: 98%][Sc: 50%]
cc-by-nc-2.0.license,CC-BY-NC-2.0 [N][M: 98%][Sc: 50%]
cc-by-nc-2.5.license,CC-BY-NC-2.5 [N][M: 98%][Sc: 50%]
cc-by-nc-3.0-de.license,CC-BY-NC-3.0 [N][Sc: 100%]; CC-BY-NC-3.0-DE [M: 100%][Sc: 100%]; LicenseRef-scancode-free-unknown [Sc: 90%]; CC-BY-3.0 [Sc: 90%]
cc-by-nc-3.0.license,CC-BY-NC-3.0 [N][M: 99%][Sc: 50%]
cc-by-nc-4.0.license,CC-BY-NC-4.0 [N][M: 96%][Sc: 50%]; Public-domain [N]
cc-by-nc-nd-1.0.license,CC-BY-NC-ND-1.0 [N][M: 98%][Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; CC-BY-NC-ND-4.0 [Sc: 99%]
cc-by-nc-nd-2.0-at.license,CC-BY-NC-ND-2.0 [N][Sc: 50%]; LicenseRef-scancode-cc-by-nc-nd-2.0-at [Sc: 100%]
cc-by-nc-nd-2.0-au.license,CC-BY-NC-ND-2.0 [N][Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; CC-BY-NC-ND-4.0 [Sc: 99%]; LicenseRef-scancode-cc-by-nc-nd-2.0-au [Sc: 100%]
cc-by-nc-nd-2.0.license,CC-BY-NC-ND-2.0 [N][M: 98%][Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; CC-BY-NC-ND-4.0 [Sc: 99%]
cc-by-nc-nd-2.5.license,CC-BY-NC-ND-2.5 [N][M: 98%][Sc: 50%]; CC-BY-NC-ND-4.0 [Sc: 99%]
cc-by-nc-nd-3.0-de.license,CC-BY-NC-ND-3.0 [N][Sc: 100%]; CC-BY-NC-ND-3.0-DE [M: 100%][Sc: 100%]; LicenseRef-scancode-free-unknown [Sc: 90%]; CC-BY-3.0 [Sc: 90%]
cc-by-nc-nd-3.0-igo.license,CC-BY-NC-ND-3.0 [N][Sc: 50%]; CC-BY-NC-ND-3.0-IGO [M: 100%][Sc: 100%]
cc-by-nc-nd-3.0.license,CC-BY-NC-ND-3.0 [N][M: 99%][Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; CC-BY-NC-ND-4.0 [Sc: 99%]
cc-by-nc-nd-4.0.license,CC-BY-NC-ND-4.0 [N][M: 96%][Sc: 50%]; Public-domain [N]
cc-by-nc-sa-1.0.license,CC-BY-NC-SA-1.0 [N][M: 98%][Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; CC-BY-3.0 [Sc: 90%]; CC-BY-4.0 [Sc: 90%]; LicenseRef-scancode-proprietary-license [Sc: 100%]
cc-by-nc-sa-2.0-de.license,CC-BY-NC-SA-2.0 [N][Sc: 50%]; CC-BY-NC-SA-2.0-DE [M: 97%]
cc-by-nc-sa-2.0-fr.license,CC-BY-NC-SA-2.0 [N][Sc: 100%]; CC-BY-NC-SA-2.0-FR [M: 100%][Sc: 100%]; CC-BY-3.0 [Sc: 90%]; LicenseRef-scancode-free-unknown [Sc: 90%]
cc-by-nc-sa-2.0-uk.license,CC-BY-NC-SA-2.0 [N][Sc: 50%]; CC-BY-NC-SA-2.0-UK [M: 100%][Sc: 100%]
cc-by-nc-sa-2.0.license,CC-BY-NC-SA-2.0 [N][M: 98%][Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; CC-BY-4.0 [Sc: 90%]; CC-BY-3.0 [Sc: 90%]; LicenseRef-scancode-proprietary-license [Sc: 100%]
cc-by-nc-sa-2.5.license,CC-BY-NC-SA-2.5 [N][M: 98%][Sc: 50%]; CC-BY-4.0 [Sc: 90%]; CC-BY-3.0 [Sc: 90%]; LicenseRef-scancode-proprietary-license [Sc: 100%]
cc-by-nc-sa-3.0-de.license,CC-BY-NC-SA-3.0 [N][Sc: 100%]; CC-BY-NC-SA-3.0-DE [M: 100%][Sc: 100%]; CC-BY-3.0 [Sc: 90%]; LicenseRef-scancode-free-unknown [Sc: 90%]
cc-by-nc-sa-3.0-igo.license,CC-BY-NC-SA-3.0 [N][Sc: 50%]; CC-BY-NC-SA-3.0-IGO [M: 99%][Sc: 100%]
cc-by-nc-sa-3.0-us.license,CC-BY-NC-SA-3.0 [N][Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; CC-BY-4.0 [Sc: 90%]; CC-BY-3.0 [Sc: 90%]; LicenseRef-scancode-proprietary-license [Sc: 100%]; LicenseRef-scancode-cc-by-nc-sa-3.0-us [Sc: 100%]
cc-by-nc-sa-3.0.license,CC-BY-NC-SA-3.0 [N][M: 99%][Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; CC-BY-4.0 [Sc: 90%]; CC-BY-3.0 [Sc: 90%]; LicenseRef-scancode-proprietary-license [Sc: 100%]
cc-by-nc-sa-4.0.license,CC-BY-NC-SA-4.0 [N][M: 96%][Sc: 50%]; Public-domain [N]
cc-by-nd-1.0.license,CC-BY-ND-1.0 [N][M: 98%][Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; CC-BY-3.0 [Sc: 90%]; CC-BY-4.0 [Sc: 90%]
cc-by-nd-2.0.license,CC-BY-ND-2.0 [N][M: 98%][Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; CC-BY-3.0 [Sc: 90%]; CC-BY-4.0 [Sc: 90%]
cc-by-nd-2.5.license,CC-BY-ND-2.5 [N][M: 98%][Sc: 50%]; CC-BY-4.0 [Sc: 90%]; CC-BY-3.0 [Sc: 90%]
cc-by-nd-3.0-de.license,CC-BY-ND-3.0 [N][Sc: 100%]; CC-BY-ND-3.0-DE [M: 100%][Sc: 100%]; CC-BY-3.0 [Sc: 90%]; LicenseRef-scancode-free-unknown [Sc: 90%]
cc-by-nd-3.0.license,CC-BY-ND-3.0 [N][M: 99%][Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; CC-BY-4.0 [Sc: 90%]; CC-BY-3.0 [Sc: 90%]
